issue_type,parcel_1,parcel_2,index_1,index_2,area
overlap,11596,556968,10790,507003,2.1392821868294193e-05
overlap,11596,156497,10790,145837,0.0011844021195421244
overlap,11624,309606,10817,288521,0.0007380479271311318
overlap,11653,575433,10846,507458,0.0014773782299111193
overlap,11653,575434,10846,507459,6.528961929782714e-05
overlap,11768,520971,10955,485658,0.010629348115557491
overlap,11841,135609,11023,126368,9.550706071067704e-06
overlap,11975,553629,11146,506894,0.0004431920400320699
overlap,11975,56546,11146,52657,0.00020946300582526262
overlap,11987,538519,11158,501811,0.0011499003337961389
overlap,12053,31008,11219,28912,0.0024488723844164895
overlap,12066,89099,11230,82965,0.003727186657272341
overlap,12202,77639,11364,72301,0.0002124504810018792
overlap,12202,382836,11364,357052,0.00021244976354135972
overlap,12249,177667,11407,165561,0.00518697166188864
overlap,12249,333116,11407,310496,0.004892494354783672
overlap,12249,67231,11407,62617,0.0004963643332594582
overlap,12249,169873,11407,158302,0.00018337857055543297
overlap,12275,541908,11428,504650,2.7790987953885127e-05
overlap,12295,324677,11445,302577,0.0002397719656304907
overlap,12374,541498,11517,504299,0.008559773048190777
overlap,12420,120675,11563,112388,0.010618878566497956
overlap,12461,363704,11600,339101,0.0011919110933521
overlap,12485,34713,11623,32374,7.632862823267369e-05
overlap,12507,395361,11643,368785,0.0007344864991374322
overlap,12520,201507,11656,187745,0.0004691035473904781
overlap,12522,454230,11658,523634,0.00044917722628410656
overlap,12586,341865,11717,318637,0.00042654303341619417
overlap,12600,215257,11730,200546,0.0002500845986190825
overlap,12600,289837,11730,270053,1.1383711701065061e-06
overlap,12678,246042,11804,229172,0.003863585126742675
overlap,12682,198826,11807,185260,0.00040849740418967214
overlap,12802,34445,11920,32121,0.0007832112655868522
overlap,12802,88668,11920,82561,0.0012188292869361088
overlap,12802,482425,11920,450011,0.000619479292026626
overlap,12802,370617,11920,345554,1.597619841879616e-05
overlap,12802,532458,11920,496302,0.002044060577190976
overlap,12811,559688,11929,507056,0.003061292755440646
overlap,12846,63199,11958,58844,0.003672576813055763
overlap,12852,48700,11964,45445,0.0018280605655681345
overlap,12861,22283,11972,20799,0.000973681135441847
overlap,12967,77979,12069,72617,0.015344894588388964
overlap,13023,582288,12120,507826,0.02690096767025791
overlap,13036,320535,12132,298713,0.0005292125968026085
overlap,13038,541898,12134,504640,0.0027580230849485
overlap,13047,311528,12142,290308,0.0003495357241547481
overlap,13161,547597,12241,506808,6.317977224756799e-05
overlap,13376,78622,12446,73221,0.00028586825782784484
overlap,13376,447181,12446,417306,0.0023821302582417363
overlap,13390,166684,12459,155328,2.6735563998904297
overlap,542961,425508,12477,397014,0.022508734125020625
overlap,542961,505864,12477,471728,9.611572056875372e-05
overlap,13410,307881,12479,286909,0.00448517450812172
overlap,13420,354310,12488,330318,0.008558864148793918
overlap,13420,536589,12488,500111,0.0011150227739255042
overlap,13449,453402,12516,423070,0.00955819465768215
overlap,13449,28633,12516,26717,0.00738309910069288
overlap,13450,378797,12517,353260,0.019527598897533312
overlap,13478,536629,12543,500139,3.1894534684110277e-06
overlap,13481,467380,12546,436022,0.007134471088502181
overlap,13493,356875,12558,332744,0.010951159119500176
overlap,13575,172083,12632,160352,0.002648642025651071
overlap,13619,524595,12674,489027,0.0022996368954710444
overlap,13660,296593,12711,276376,0.004608392354354367
overlap,13768,53630,12810,49976,5.065733425144557e-05
overlap,13768,311628,12810,290404,0.0034973241428721304
overlap,13772,297254,12813,276986,0.006565802582264357
overlap,13816,575837,12854,518515,0.0019700453811349605
overlap,13855,453130,12891,422811,0.004588769120406622
overlap,13935,1474625,12964,546427,2.3015575141323085e-05
overlap,13935,1474624,12964,546426,9.623339502029538e-05
overlap,14041,369579,13069,344594,0.01519296814728932
overlap,14171,197374,13193,183924,0.011912854823814989
overlap,14181,575833,13203,532584,0.00958223280473724
overlap,14254,38320,13270,35731,0.0011676220495360212
overlap,14298,356384,13312,332272,0.002003269046455536
overlap,14298,466740,13312,435423,0.008947554927431156
overlap,14302,226986,13315,211484,0.0008687310939485826
overlap,14304,25414,13317,23715,0.0008617222760052279
overlap,14314,185899,13327,173219,0.0028639518680555723
overlap,14341,350880,13353,327107,0.00041209760167413174
overlap,14369,206967,13379,192814,0.0010320600267230663
overlap,14369,329316,13379,306940,0.011810216330175366
overlap,14440,539732,13447,502855,0.02756154692929158
overlap,14443,563335,13450,507137,0.0008476172740679666
overlap,14443,135771,13450,126524,0.0007576261785481801
overlap,14458,543744,13464,506202,0.0023371946809501772
overlap,14476,142654,13480,132937,0.0007454740949174695
overlap,14590,424320,13586,395911,0.011423591836472954
overlap,14596,540545,13592,503505,0.0010113760981615982
overlap,14736,372475,13722,347301,0.0006298913037251585
overlap,14756,314399,13740,292981,0.0001422626865276174
overlap,14792,603692,13774,508368,0.004255968015284243
overlap,14951,222121,13927,206923,5.803509845554833e-05
overlap,15068,31739,14033,29605,0.014279556090368697
overlap,15087,519695,14049,484462,0.001197891492889907
overlap,15103,331846,14064,309320,0.0006362783201000281
overlap,15199,429949,14156,401206,7.262157830897897e-05
overlap,15214,355535,14170,331473,0.0003278789301688345
overlap,15224,223297,14180,208021,0.0006907319925105406
overlap,15241,527195,14196,491411,0.0021505604663855753
overlap,15244,366573,14199,341788,0.00015742162345109003
overlap,15244,169844,14199,158276,0.0024237305468020054
overlap,15254,540076,14208,503127,0.0009098699472991356
overlap,15312,163721,14264,152579,0.0009429077133198405
overlap,15452,523880,14393,488368,0.010494795330677958
overlap,15533,155044,14469,144470,0.0001782143918853154
overlap,15533,74603,14469,69471,0.0031314612102207734
overlap,15567,361827,14500,337352,0.0015131674223771686
overlap,15573,242521,14505,225901,0.00027587377441553684
overlap,15612,223380,14542,208100,3.013221971544846e-05
overlap,15626,56082,14556,52224,0.0038538711053705764
overlap,15661,528255,14589,492390,0.0005617469816607823
overlap,15684,31155,14610,29052,0.0047298288473054916
overlap,15816,308930,14739,287888,0.0002323437749256665
overlap,15816,357298,14739,333142,0.0002321810583613551
overlap,15922,334030,14843,311349,7.689030999549025e-09
overlap,15939,554019,14859,506910,0.0005529939476277517
overlap,16002,325502,14919,303354,0.01704383594153569
